Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Golden State Warriors,115.89,104.26,11.63,98.97,116.5,104.72,11.79,0.563,0.486,0.597,0.525,67,15,50.56,143.83,112.22,0.563,0.486,0.204,0.198,0.145,0.149,0.229,0.251,116.5,104.72,12.04,9.03,9.49,11.8,35.21,31.87,30.54,22.81,9.64,8.67,6.79,3.87,14.52,14.87,19.43,19.45,8,130,19596,19015,28,55,3,7,1,4,0,0,0,1,1,1,29.5,48.5,100.6,0.482,16.1,41.3,0.391,22.4,26.7,0.839,16.1,18,8.7,37.4,46.1,34.3,10.4,6.2,135.4,14.1,0.641,0.303,0.102,0.107,0.129,0.359,0.557,0.69,0.408,0.43,0.469,0.383,0.656,0.075,500,0.832,0.208,0.409,30,1
Detroit Pistons,101.33,102.45,-1.12,94.15,106.95,107.91,-0.96,0.492,0.517,0.521,0.554,37,45,51.62,113.28,117.98,0.492,0.517,0.157,0.197,0.12,0.128,0.241,0.188,106.95,107.91,8.12,9.85,11.71,8.43,36.57,36.74,22.29,24.78,7.4,7.08,4.02,4.38,12,12.83,18.88,18.42,2,110,15979,17700,24,20,2,4,2,4,0,1,0,2,10,0,30.7,41.7,93.5,0.446,8.5,25.2,0.337,14.4,21,0.686,11.2,16.8,11.4,34,45.4,20,7.1,3.5,106.4,13.1,0.737,0.25,0.189,0.141,0.157,0.263,0.492,0.646,0.384,0.445,0.416,0.33,0.455,0.043,283,0.845,0.203,0.384,30,1
Denver Nuggets,111.72,111.21,0.51,97.94,113.63,113.25,0.38,0.53,0.532,0.568,0.567,40,42,53.15,127.85,126.85,0.53,0.532,0.214,0.194,0.147,0.118,0.274,0.215,113.63,113.25,10.79,10.04,12.06,9.63,35.09,31.99,25.76,24.49,7.08,8.46,4.06,5.08,14.71,11.76,19.44,20.53,6,139,14770,17420,17,21,3,4,6,2,1,3,0,2,9,0,29.7,42.4,87.9,0.483,10.3,27.5,0.374,20.4,25.9,0.786,14.5,17.4,11.4,34.5,45.9,26.2,7,3.6,115.5,12.8,0.671,0.33,0.156,0.078,0.108,0.329,0.519,0.627,0.441,0.386,0.397,0.368,0.526,0.053,347,0.87,0.192,0.387,19,0
Dallas Mavericks,97.92,100.84,-2.93,91.83,106.09,109.42,-3.33,0.505,0.53,0.542,0.568,33,49,46.48,107.62,115.12,0.505,0.53,0.18,0.218,0.122,0.158,0.183,0.224,106.09,109.42,11.6,10.43,8.63,9.62,33.27,38.71,22.53,23.07,8.13,7.11,4.06,3.75,12.18,15.77,20.71,21.05,4,98,19789,17519,17,34,2,2,3,2,0,1,1,3,11,0,30.4,38.7,88,0.44,11.4,31.2,0.365,14.6,17.6,0.83,11.2,16.7,6.3,29.9,36.2,20.9,6.9,2.8,103.3,15.4,0.634,0.201,0.127,0.116,0.189,0.366,0.489,0.637,0.444,0.441,0.391,0.355,0.474,0.04,237,0.813,0.196,0.371,17,0
Cleveland Cavaliers,110.34,107.16,3.18,95.4,114.5,110.88,3.63,0.547,0.516,0.58,0.549,51,31,49.74,123.4,122.99,0.547,0.516,0.206,0.175,0.137,0.125,0.221,0.243,114.5,110.88,13.5,10.73,9.77,11.43,35.69,34.37,23.51,25.54,6.86,7.56,4.2,4.49,13.69,12.48,18.81,21.33,4,139,20562,19021,11,35,1,2,1,3,0,0,0,0,2,1,31.6,45.1,93.4,0.483,12.4,32.9,0.377,20.6,27.6,0.749,14.3,15.8,11.8,37.2,49,26.6,7,4.2,123.3,14.4,0.601,0.284,0.11,0.092,0.115,0.399,0.528,0.666,0.362,0.428,0.425,0.384,0.441,0.059,381,0.829,0.293,0.412,7,0
Chicago Bulls,102.87,102.44,0.43,94.99,107.74,107.5,0.24,0.487,0.507,0.53,0.54,41,41,51.63,118.52,116.94,0.487,0.507,0.206,0.169,0.136,0.136,0.27,0.233,107.74,107.5,7.96,9.36,12.74,10.88,35.68,34.57,23.64,24.81,8.26,7.69,5.14,4.88,13.55,13.59,18.59,19.72,4,136,21680,18033,11,34,5,3,3,2,0,2,0,2,8,1,29.1,42.8,93.5,0.458,5.7,16.1,0.354,22.2,27.4,0.811,13.9,16,13.5,33.4,46.9,25.7,8.1,5.8,113.6,12.8,0.744,0.28,0.167,0.117,0.179,0.256,0.479,0.6,0.449,0.393,0.377,0.34,0.513,0.038,248,0.875,0.289,0.415,9,0
Charlotte Hornets,104.89,104.7,0.2,94.67,109.96,109.7,0.26,0.501,0.524,0.547,0.554,36,46,49.6,120.39,122.22,0.501,0.524,0.227,0.164,0.115,0.13,0.199,0.203,109.96,109.7,10.53,12.14,9.23,9.28,36.53,37.2,24.18,25.71,7.29,6.89,5.1,5.8,11.48,13.02,17.39,20.84,8,145,17333,17564,11,43,1,2,1,1,0,2,0,2,11,0,30.9,38.3,85.9,0.446,10.2,28.1,0.363,19.2,23.5,0.816,10.9,15.6,9.4,36.8,46.2,24.2,7.3,5.1,106.1,13.9,0.665,0.282,0.133,0.099,0.152,0.335,0.488,0.61,0.4,0.419,0.38,0.351,0.545,0.034,218,0.795,0.133,0.377,15,1
Brooklyn Nets,105.77,112.5,-6.73,100.48,104.86,111.51,-6.65,0.507,0.513,0.551,0.553,20,62,48.2,114.51,130.06,0.507,0.513,0.228,0.212,0.158,0.128,0.196,0.239,104.86,111.51,10.6,9.86,8.72,10.9,34.81,35.86,21.23,22.82,7.19,9.42,4.67,5.56,15.79,12.76,20.87,20.21,2,157,15429,17755,6,30,1,1,2,3,0,3,0,3,15,0,25.6,40.5,90.4,0.448,10.7,31.5,0.339,21.4,26.6,0.808,16.8,20.2,8.7,35.3,44.1,22.9,7,5.2,113.1,13.2,0.629,0.309,0.173,0.077,0.07,0.371,0.506,0.613,0.418,0.391,0.374,0.338,0.454,0.035,225,0.851,0.215,0.373,21,0
Boston Celtics,108.01,105.38,2.63,95.96,112.13,109.49,2.64,0.525,0.503,0.567,0.545,53,29,48.49,123.29,119,0.525,0.503,0.22,0.223,0.131,0.14,0.212,0.248,112.13,109.49,12.47,9.31,9.42,11.24,34.13,35.06,26.19,23.45,7.82,7.91,4.3,5.42,13.14,13.98,21.35,21.09,5,126,18553,18313,13,24,2,4,1,4,1,4,1,2,1,1,29.9,42.7,91,0.469,13.4,35.6,0.377,22.1,26.5,0.834,13,19.3,8.6,31.9,40.4,26.9,7.8,4.3,120.9,14.2,0.607,0.296,0.129,0.071,0.111,0.393,0.515,0.633,0.395,0.417,0.405,0.359,0.57,0.033,211,0.836,0.22,0.41,20,0
Atlanta Hawks,103.16,104.01,-0.85,96.71,105.59,106.72,-1.13,0.504,0.509,0.541,0.543,43,39,50.3,115.94,118.04,0.504,0.509,0.215,0.18,0.156,0.151,0.237,0.238,105.59,106.72,9.1,11.17,10.55,10.95,34.9,34.07,24.19,24.01,8.36,9.22,4.99,5.34,15.59,15.08,18.61,22.12,2,130,15959,17817,23,38,3,3,4,2,0,3,0,3,5,1,30.3,40.7,88.2,0.461,8.1,23.9,0.339,20.2,28.4,0.71,16.9,17.9,11.2,35.7,46.8,25,8.3,5.4,109.7,13,0.691,0.331,0.117,0.092,0.151,0.309,0.501,0.616,0.349,0.394,0.429,0.341,0.542,0.054,341,0.879,0.234,0.388,12,0
